abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf
Stegli,Steglitz,2,2,3,3,2,0,0,0,0,0,10,0,7,41,6,6,0,1,1,2,54,2,0,4,1,0,7,5,0,3,5,10,4,0,2,0,1,3,1,2,1,0,0,0,3,28,32,2,23,73,0,0,0,17,7,0,1,41,18,0,4,28,0,6,6,2,17,3,6,2,7,0,3,3,16,0,86,2,16,2,0,NA,5,30,10,1,11,0,27,4,8,7,7,92,2,48
Tegel,Tegel,0,0,0,0,1,0,0,0,0,19,2,0,1,14,8,0,0,2,0,1,1,0,1,1,15,0,13,1,0,3,3,1,0,4,24,0,0,15,0,0,0,0,2,8,1,8,0,0,7,3,8,1,0,1,0,19,1,5,10,0,0,6,0,4,1,0,5,0,2,0,49,0,1,0,5,0,4,4,3,5,0,6,NA,8,1,15,0,0,24,0,8,1,0,3,15,17
Tempel,Tempelhof,6,1,1,2,0,1,0,0,0,1,6,0,8,17,0,0,0,2,0,0,8,0,0,6,1,0,5,2,0,0,0,5,0,0,0,0,3,4,0,0,0,2,0,0,2,72,13,0,12,9,0,2,0,48,10,3,0,1,9,1,0,44,1,2,2,1,4,0,5,0,3,1,6,1,0,0,44,0,3,2,0,26,1,NA,3,1,1,0,6,7,6,1,1,20,0,6
Tierga,Tiergarten,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,2,0,0,0,1,0,1,0,0,1,3,1,3,0,0,0,0,4,0,0,0,0,1,0,2,5,1,0,0,6,0,1,0,0,0,0,0,8,9,0,0,5,0,2,1,0,1,0,5,0,2,0,0,0,0,0,20,0,2,0,0,1,0,0,NA,0,0,0,1,0,1,1,1,7,0,2
Waidma,Waidmannslust,0,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,1,7,0,3,0,0,0,0,0,0,0,2,0,0,14,0,0,0,0,0,0,0,3,0,0,0,0,7,0,0,1,0,8,0,2,2,0,0,3,0,0,0,0,0,0,1,0,13,1,0,0,0,0,0,1,0,0,0,3,9,1,0,NA,0,0,2,0,1,1,0,5,8,0
Wannse,Wannsee,0,0,0,0,0,0,0,0,1,1,1,0,1,21,0,3,0,4,0,0,8,4,0,5,1,0,0,0,0,2,6,1,0,0,0,0,4,2,0,0,0,1,0,0,1,7,2,0,1,16,1,0,0,5,0,0,0,7,3,0,0,3,0,0,8,0,0,0,0,0,2,0,0,0,1,0,7,1,4,1,0,5,1,0,3,0,NA,0,5,0,2,0,0,7,1,21
Warten,Wartenberg,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0
Weddin,Wedding,1,0,2,0,0,0,3,0,2,1,1,0,0,11,2,0,0,0,1,6,2,0,0,3,3,0,59,1,0,7,1,4,1,0,0,0,1,6,0,0,0,0,0,2,2,16,1,0,8,5,0,4,0,0,0,10,0,12,23,0,1,14,0,5,1,0,4,0,15,0,39,1,3,1,2,0,12,1,1,1,0,13,6,1,1,1,0,0,NA,0,2,2,0,4,3,8
Weißen,Weißensee,2,1,19,0,1,1,2,0,1,0,0,1,0,3,1,0,0,0,3,1,0,1,0,19,0,0,6,0,0,1,0,0,0,0,0,2,8,0,0,1,4,2,1,0,0,10,1,6,0,4,0,1,0,2,0,1,4,21,2,0,19,3,0,7,1,3,24,1,72,1,2,0,0,2,1,0,4,0,2,0,0,4,1,3,0,0,0,1,4,NA,2,1,0,3,3,10
Westen,Westend,1,1,0,1,2,1,0,0,0,3,3,0,0,134,5,4,0,9,0,0,9,1,12,3,2,4,3,1,0,17,2,8,4,1,1,1,23,6,0,2,0,0,3,0,7,14,9,0,9,7,0,4,0,7,1,0,4,4,15,0,0,7,0,2,1,2,0,0,3,0,6,1,2,2,11,0,25,7,8,15,0,12,4,10,3,0,7,1,8,0,NA,3,16,33,2,14
Wilhe1,Wilhelmsruh,0,0,2,0,0,0,0,0,0,0,0,1,0,14,0,0,0,0,0,1,8,3,0,2,0,0,2,1,1,0,0,0,0,0,0,0,1,1,2,0,2,0,0,0,0,0,0,3,0,2,0,0,0,0,1,2,1,4,0,0,1,0,0,15,0,1,9,0,14,0,11,7,0,3,4,0,15,0,0,0,0,2,0,3,0,0,0,0,3,3,0,NA,0,6,0,0
Wilhe2,Wilhelmstadt,1,1,2,0,0,1,0,0,0,1,2,0,0,32,5,0,0,18,0,1,2,0,2,1,2,4,11,0,0,1,16,1,2,3,2,3,2,2,0,2,0,0,8,0,1,19,2,0,1,13,1,0,0,2,0,2,0,4,6,0,0,6,0,3,0,1,1,0,8,0,9,0,0,1,1,0,13,5,33,49,0,7,4,5,5,0,1,0,7,4,26,2,NA,16,0,5
Wilmer,Wilmersdorf,0,2,4,3,2,0,1,0,2,0,3,0,5,216,3,17,0,2,3,3,77,1,0,16,3,0,6,3,0,19,2,35,5,1,2,0,13,6,2,1,1,1,3,1,1,55,14,3,16,39,0,1,0,6,3,4,5,23,37,0,1,49,0,0,5,1,10,3,19,0,13,6,4,3,45,0,165,3,4,1,0,92,6,24,11,0,2,0,25,7,28,0,7,NA,2,47
Witten,Wittenau,1,0,2,0,0,0,0,2,0,8,1,0,0,3,3,0,0,1,0,7,0,1,0,2,7,0,15,0,0,0,0,2,1,1,4,0,0,10,0,0,0,0,0,2,0,4,0,0,0,1,3,0,0,0,0,29,2,12,5,0,0,3,0,3,2,1,4,0,2,0,30,1,0,0,0,0,2,1,0,2,0,0,21,1,0,11,0,0,18,0,1,0,1,1,NA,3
Zehlen,Zehlendorf,0,0,1,2,1,1,2,0,0,1,4,3,7,69,2,37,0,0,0,2,22,0,1,11,15,0,12,1,0,15,6,0,1,0,1,0,5,10,2,0,2,1,0,1,1,44,11,0,12,116,0,1,0,11,3,2,0,5,17,0,1,21,3,1,67,8,16,0,16,0,13,0,5,0,19,0,58,2,5,1,0,73,21,14,3,0,24,0,9,5,26,1,5,83,5,NA
