abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf
Karow,Karow,0,0,1,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,2,0,2,0,6,1,0,1,0,0,1,0,0,0,0,0,0,4,0,0,3,NA,0,0,0,1,2,0,1,2,0,0,0,0,0,0,3,0,11,0,0,5,0,0,2,0,0,16,0,6,2,1,1,0,0,0,0,1,0,0,0,0,0,3,1,0,0,0,0,1,7,0,0,1,1,0,0
Kaulsd,Kaulsdorf,0,1,5,0,1,8,0,0,2,0,0,0,1,0,2,2,0,0,5,0,1,5,1,12,0,0,0,1,0,2,0,0,0,0,0,0,24,0,0,3,0,NA,0,0,5,1,0,5,0,2,0,5,0,0,0,0,10,4,3,0,5,0,1,2,1,1,0,1,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,1
Kladow,Kladow,0,0,1,0,0,0,0,0,0,0,0,0,1,9,1,1,0,4,0,0,2,0,0,0,0,5,0,0,0,2,3,1,3,1,0,0,1,0,0,2,0,0,NA,0,0,4,0,0,2,3,0,5,0,1,0,2,0,1,2,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,3,6,0,2,0,0,1,0,2,0,1,0,6,1,17,4,0,6
Konrad,Konradshöhe,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0,0,0,0,0,2,0,1,4,0,0,0,0,0,NA,1,1,1,0,1,1,1,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,7,0,0,1,0,0,2,1,1,0,1,0,2,2
Köpeni,Köpenick,16,2,4,0,3,8,8,4,2,0,4,2,4,5,0,2,0,0,2,1,0,8,16,19,3,0,6,1,9,0,0,1,0,0,0,0,13,0,1,6,5,10,0,1,NA,3,7,2,3,2,0,11,0,4,0,2,18,63,7,6,5,9,4,2,0,10,5,4,15,6,3,1,2,3,0,6,2,1,2,0,0,1,1,3,0,0,2,0,1,2,3,3,3,5,0,3
Kreuzb,Kreuzberg,5,0,2,2,0,3,0,0,1,0,4,0,0,32,0,4,0,1,0,0,11,1,0,46,3,2,10,2,1,0,1,1,1,1,0,0,7,2,0,1,0,0,0,0,0,NA,7,1,9,15,0,1,0,8,1,0,0,46,22,0,2,98,0,7,1,2,2,4,45,1,1,5,0,3,4,0,54,1,7,2,0,7,5,17,6,0,2,0,11,2,6,5,6,28,0,7
Lankwi,Lankwitz,4,2,2,0,3,1,2,0,1,0,5,5,3,12,2,3,0,0,0,0,6,1,1,3,0,1,9,1,0,2,2,7,0,0,0,0,5,6,0,0,2,0,0,1,0,14,NA,1,17,77,0,2,0,20,18,4,2,8,7,0,0,22,0,0,3,1,4,3,5,0,6,2,3,0,3,0,29,1,0,1,0,60,4,18,2,0,0,0,2,4,2,4,3,26,1,23
Licht1,Lichtenberg,0,0,8,1,0,4,0,0,0,0,0,0,0,2,0,0,0,0,10,0,1,12,1,26,0,0,1,0,0,2,0,0,0,1,0,0,8,1,3,6,0,3,0,0,2,1,0,NA,0,2,0,0,0,4,0,0,9,6,0,0,5,6,0,2,0,1,3,0,12,0,1,0,0,11,0,1,0,0,0,0,0,4,0,0,1,0,0,0,0,4,0,0,0,1,2,0
Licht2,Lichtenrade,0,1,0,2,1,0,0,0,0,1,12,0,25,17,3,2,0,2,0,0,6,4,0,1,3,0,3,4,0,3,1,1,2,0,4,0,0,3,2,0,2,0,0,0,1,28,22,1,NA,29,0,0,0,49,34,5,2,15,10,0,0,31,1,0,2,0,1,1,6,0,2,0,13,0,2,0,26,1,2,0,0,23,10,27,2,1,1,0,2,0,1,0,1,15,2,4
Licht3,Lichterfelde,1,0,2,0,2,0,0,0,1,0,12,0,13,25,3,25,0,1,1,8,25,5,0,7,1,0,8,4,1,7,0,4,7,4,0,1,2,8,1,3,0,2,3,0,2,26,69,0,15,NA,0,3,0,18,32,0,2,10,23,0,1,26,2,1,11,4,7,0,11,3,10,4,4,0,14,2,66,0,3,3,0,115,1,37,2,0,10,0,11,8,13,3,6,50,2,99
