abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf,sum_imm,sum_emm,sum_intern
Hansav,Hansaviertel,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,NA,0,1,0,0,0,0,0,0,0,3,0,0,1,0,0,2,7,0,0,0,2,0,1,0,3,22,0,0,1,0,0,0,0,0,0,1,0,5,0,0,1,1,0,4,0,1,1,0,4,0,0,3,0,0,0,1,0,4,0,2,5,1,1,89,91,28
Haselh,Haselhorst,0,0,0,0,0,0,0,0,0,0,1,1,2,6,5,0,0,8,1,0,0,2,0,2,0,1,0,0,0,1,19,0,0,NA,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,3,6,4,6,0,0,4,0,0,0,0,0,0,0,1,0,3,1,1,0,126,90,228
Heilig,Heiligensee,0,0,0,0,0,0,0,2,0,4,1,0,0,3,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,6,0,0,1,NA,1,0,2,0,0,0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,2,24,0,0,2,0,0,0,0,1,0,2,2,4,1,144,81,127
Heiner,Heinersdorf,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,NA,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,4,0,0,4,0,0,1,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,0,0,52,35,29
Heller,Hellersdorf,2,3,7,2,1,18,0,0,2,0,1,0,0,13,0,0,1,1,6,2,6,5,3,18,3,0,5,0,0,0,0,2,0,0,0,1,NA,2,0,7,4,24,1,1,13,7,5,8,0,2,0,35,0,3,0,2,27,20,4,0,5,10,1,10,1,3,6,1,20,0,0,1,0,2,3,0,15,0,0,0,0,1,0,3,0,0,4,0,1,8,23,1,2,13,0,5,321,406,338
Hermsd,Hermsdorf,0,2,0,0,0,0,0,0,3,1,0,0,0,5,0,1,0,0,0,2,0,0,0,0,22,1,1,1,0,0,2,0,0,2,3,0,0,NA,0,0,0,0,0,4,0,2,6,1,3,8,1,2,0,9,0,2,0,3,6,0,0,0,0,3,0,2,3,0,4,0,11,0,1,0,0,0,3,1,0,0,0,3,15,4,4,14,2,0,6,0,6,1,2,6,10,10,216,204,156
Johann,Johannisthal,2,3,1,0,6,1,2,0,6,0,0,1,3,0,0,1,0,1,0,1,1,4,1,3,0,0,1,1,2,0,0,0,0,0,0,0,2,0,NA,1,0,0,0,0,1,0,0,3,2,1,0,0,0,1,1,0,0,1,0,1,1,0,3,1,0,3,1,0,2,3,0,0,6,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,2,154,86,124
Karlsh,Karlshorst,0,0,0,0,0,8,0,0,0,1,0,2,1,0,0,1,0,0,3,0,2,21,2,3,0,0,1,1,0,0,1,0,0,1,0,0,5,0,2,NA,3,3,2,0,6,1,0,6,0,3,0,9,0,1,0,0,6,3,1,1,0,1,0,0,0,4,2,1,2,2,2,0,0,4,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,1,2,0,2,1,0,0,170,129,140
Karow,Karow,0,1,3,0,0,0,1,0,0,0,0,15,0,0,0,0,0,0,0,5,0,1,1,1,0,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,NA,0,0,0,5,0,2,0,2,0,0,0,0,0,1,0,1,3,1,0,0,2,0,7,0,1,5,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,2,0,1,0,2,108,79,89
Kaulsd,Kaulsdorf,0,1,1,0,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,1,0,NA,0,0,10,0,0,3,0,2,0,14,0,1,0,1,7,2,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0,2,0,0,0,1,0,1,137,86,106
Kladow,Kladow,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,7,0,1,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,3,0,1,0,1,0,0,0,2,0,0,0,2,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,3,0,0,2,0,1,0,0,0,0,1,3,0,8,3,0,0,114,58,120
Konrad,Konradshöhe,0,0,0,0,0,0,3,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,0,NA,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,1,2,1,50,35,70
Köpeni,Köpenick,13,4,3,1,1,10,14,2,9,0,3,0,4,8,1,0,0,0,0,16,0,6,16,6,0,0,2,0,8,0,0,0,0,0,0,0,6,0,4,6,1,5,0,1,NA,0,0,2,1,2,0,13,0,1,0,0,4,9,5,6,1,4,5,3,1,5,1,0,3,11,2,0,0,0,0,1,3,0,2,0,0,3,1,2,2,0,1,0,2,0,7,0,1,1,0,1,401,256,292
