abbrev,Ortsteil,Adlershof,Altglienicke,Alt-Hohenschönhausen,Alt-Treptow,Baumschulenweg,Biesdorf,Blankenburg,Blankenfelde,Bohnsdorf,Borsigwalde,Britz,Buch,Buckow,Charlottenburg,Charlottenburg-Nord,Dahlem,Falkenberg,Falkenhagener Feld,Fennpfuhl,Französisch Buchholz,Friedenau,Friedrichsfelde,Friedrichshagen,Friedrichshain,Frohnau,Gatow,Gesundbrunnen,Gropiusstadt,Grünau,Grunewald,Hakenfelde,Halensee,Hansaviertel,Haselhorst,Heiligensee,Heinersdorf,Hellersdorf,Hermsdorf,Johannisthal,Karlshorst,Karow,Kaulsdorf,Kladow,Konradshöhe,Köpenick,Kreuzberg,Lankwitz,Lichtenberg,Lichtenrade,Lichterfelde,Lübars,Mahlsdorf,Malchow,Mariendorf,Marienfelde,Märkisches Viertel,Marzahn,Mitte,Moabit,Müggelheim,Neu-Hohenschönhausen,Neukölln,Niederschöneweide,Niederschönhausen,Nikolassee,Oberschöneweide,Pankow,Plänterwald,Prenzlauer Berg,Rahnsdorf,Reinickendorf,Rosenthal,Rudow,Rummelsburg,Schmargendorf,Schmöckwitz,Schöneberg,Siemensstadt,Spandau,Staaken,Stadtrandsiedlung Malchow,Steglitz,Tegel,Tempelhof,Tiergarten,Waidmannslust,Wannsee,Wartenberg,Wedding,Weißensee,Westend,Wilhelmsruh,Wilhelmstadt,Wilmersdorf,Wittenau,Zehlendorf,sum_imm,sum_emm,sum_intern
Niede2,Niederschönhausen,1,0,3,0,3,0,3,4,0,1,1,1,0,8,1,0,2,1,0,24,0,1,0,7,0,0,1,1,0,0,1,2,0,3,1,0,7,1,0,3,2,2,0,0,2,7,0,2,0,1,3,2,0,0,0,1,1,16,3,0,4,3,0,NA,0,0,33,1,16,0,10,15,0,0,0,0,2,1,1,0,0,6,4,2,2,0,0,0,5,7,2,15,3,0,3,1,431,259,196
Nikola,Nikolassee,0,3,0,0,0,0,0,0,0,0,0,0,1,9,0,4,0,0,0,0,3,0,0,0,1,2,0,0,0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,3,0,2,11,1,0,0,0,0,0,0,6,2,0,0,0,0,1,NA,0,2,0,2,0,3,0,1,0,2,0,4,0,3,0,0,6,1,2,1,0,8,0,1,1,1,0,0,5,2,67,261,172,107
Obersc,Oberschöneweide,2,3,0,0,0,4,0,0,5,0,0,0,0,15,0,1,0,4,1,0,0,2,7,4,0,0,1,0,0,0,0,0,0,0,0,0,2,2,4,4,0,1,0,0,10,2,1,1,0,4,0,2,0,1,0,0,3,6,0,1,0,4,1,6,0,NA,0,1,8,3,0,1,2,1,0,0,2,0,2,0,0,2,0,1,0,0,0,0,0,3,2,1,1,1,1,8,130,144,62
Pankow,Pankow,4,1,1,0,0,1,10,1,0,0,5,5,0,19,0,3,0,1,3,26,0,4,2,14,2,0,4,2,2,7,4,1,1,0,0,10,9,0,2,0,16,0,0,1,5,2,4,3,1,7,1,3,0,3,0,3,6,15,6,0,3,2,1,83,0,1,NA,0,37,2,4,3,1,1,8,0,10,1,4,1,0,17,5,4,1,0,0,1,4,24,0,9,1,10,4,16,506,478,351
Plänte,Plänterwald,1,5,2,3,6,1,0,0,1,0,3,0,0,3,0,0,0,1,0,0,0,0,0,4,0,0,0,1,1,0,0,0,0,0,0,0,3,0,10,2,0,1,0,0,4,4,3,0,1,0,0,1,0,1,0,0,1,4,0,1,0,0,0,1,0,1,0,NA,1,0,1,0,1,1,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,1,0,0,0,3,0,0,57,83,44
Prenzl,Prenzlauer Berg,3,2,17,4,4,5,1,0,4,0,3,2,0,22,0,6,0,0,17,16,8,7,8,103,5,0,28,0,1,3,1,1,1,0,3,8,21,13,0,7,6,2,1,0,15,45,5,12,6,11,1,7,0,3,0,1,22,123,14,2,17,24,0,46,0,8,122,2,NA,1,8,5,0,13,2,1,33,0,14,4,0,6,2,5,5,1,0,1,15,72,3,14,8,19,2,16,768,1069,1071
Rahnsd,Rahnsdorf,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,0,1,1,5,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,6,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,4,2,0,0,NA,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,120,46,65
Reinic,Reinickendorf,1,1,2,0,0,4,1,1,0,3,2,0,4,19,11,0,0,5,0,0,1,0,5,5,12,0,12,1,3,0,1,1,0,3,12,0,5,19,3,1,1,0,1,3,3,1,6,1,2,10,7,0,0,6,0,33,2,5,12,0,0,7,0,20,2,2,9,0,5,1,NA,5,3,2,2,0,5,4,9,5,0,7,49,3,2,13,2,0,39,2,6,11,9,13,30,13,487,511,467
Rosent,Rosenthal,0,0,0,0,2,0,1,7,0,0,0,1,0,0,0,0,0,0,0,7,3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,0,0,1,5,2,0,0,4,0,0,0,1,0,1,0,6,2,0,0,0,0,10,0,0,11,0,2,0,5,NA,0,0,0,0,15,0,4,1,0,0,0,1,0,1,0,0,1,0,1,7,0,6,1,0,136,123,50
Rudow,Rudow,1,8,1,1,1,3,0,0,9,0,21,0,22,5,3,0,0,0,0,0,1,0,0,1,0,0,0,39,0,0,2,0,0,0,0,0,0,2,8,1,0,0,0,0,2,0,3,0,13,4,0,0,0,7,4,0,2,8,1,2,0,16,0,1,0,0,0,0,0,0,0,0,NA,0,2,0,1,0,3,0,0,3,1,6,0,0,0,0,3,0,2,0,0,4,0,5,303,222,283
Rummel,Rummelsburg,1,0,5,1,0,6,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,37,3,7,0,0,0,0,2,0,1,0,0,0,0,0,3,0,0,14,0,5,0,0,3,3,0,11,0,0,0,4,0,0,1,0,7,7,0,0,0,2,0,1,0,1,6,0,4,0,0,2,0,NA,0,0,3,0,0,0,0,3,0,1,0,0,0,0,1,2,2,3,1,3,0,0,154,163,82
Schmar,Schmargendorf,2,1,0,1,0,1,0,0,0,0,1,0,3,9,0,11,0,1,0,0,6,0,0,1,1,0,1,0,0,20,5,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,3,0,2,14,0,0,0,2,2,2,0,2,0,0,2,1,0,1,4,0,3,0,1,1,0,1,2,0,NA,0,10,0,0,1,0,16,5,0,0,0,1,0,2,1,11,4,1,45,0,19,331,233,146
Schmöc,Schmöckwitz,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,1,0,2,0,1,0,1,0,0,0,1,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,16
Schöne,Schöneberg,1,4,1,2,2,2,0,0,0,2,8,1,8,69,8,10,0,5,1,3,78,1,4,7,11,2,12,12,0,10,9,7,5,4,1,0,12,13,3,1,1,2,1,0,2,54,29,0,26,66,1,3,0,30,7,6,3,29,32,0,1,33,1,6,4,5,4,1,32,1,6,8,7,6,16,0,NA,2,7,3,0,86,4,44,20,0,7,0,12,4,25,15,13,165,2,58,966,1209,954
Siemen,Siemensstadt,0,1,0,0,1,0,0,0,0,1,0,1,0,4,12,0,0,3,0,0,0,0,0,0,1,0,5,0,0,1,4,0,0,6,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,0,2,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,2,0,1,0,1,NA,5,4,0,2,4,0,0,1,1,0,1,0,7,0,5,3,1,2,94,101,60
Spanda,Spandau,0,0,0,0,0,0,2,0,0,0,0,0,2,4,7,0,1,42,0,0,3,0,0,2,0,3,5,1,0,3,49,0,0,5,0,0,6,0,0,0,0,0,3,0,2,7,0,0,2,3,0,0,0,1,1,1,4,12,2,0,0,5,0,2,2,0,5,0,14,0,4,0,0,0,5,0,4,3,NA,24,0,16,3,3,2,0,4,0,1,2,8,0,33,4,0,5,288,322,174
Staake,Staaken,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,20,0,2,0,1,0,0,0,2,6,1,0,0,25,0,2,9,1,0,0,0,0,0,0,0,6,0,0,2,1,0,0,3,0,0,0,3,0,0,0,7,1,0,1,3,0,0,0,0,0,0,0,0,8,0,1,0,2,1,1,1,18,NA,0,2,5,2,0,0,1,0,1,0,15,0,49,1,2,1,309,216,275
Stadtr,Stadtrandsiedlung Malchow,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2
Stegli,Steglitz,2,3,0,0,1,1,8,0,1,0,8,0,4,51,5,17,0,7,0,3,42,0,1,6,3,2,3,4,0,14,11,5,0,2,1,0,0,1,0,1,0,0,2,1,1,7,60,4,23,115,0,7,0,28,18,1,2,30,9,2,1,5,1,0,15,0,17,0,9,2,5,0,2,4,17,1,48,3,6,9,0,NA,6,26,1,3,5,0,13,4,12,2,7,92,0,73,897,906,601
Tegel,Tegel,0,0,0,0,0,0,0,2,2,7,3,2,2,2,5,1,0,5,1,2,0,0,4,0,6,0,3,0,1,0,6,1,0,4,19,1,0,8,0,0,3,0,0,7,1,5,4,0,10,1,5,2,0,2,0,11,1,3,5,0,0,2,1,1,4,0,0,1,4,1,26,3,1,0,2,0,1,3,4,1,0,5,NA,1,0,9,1,0,6,1,4,0,4,6,21,21,391,281,297
Tempel,Tempelhof,1,5,0,2,0,0,0,0,0,0,19,0,15,18,1,1,0,6,0,0,3,0,0,5,0,0,2,6,0,2,6,1,4,0,2,0,7,2,1,0,1,0,0,0,3,17,18,0,27,37,0,5,0,88,10,4,1,15,2,0,0,15,1,0,4,0,4,0,3,2,6,2,8,1,4,0,38,0,0,1,0,30,8,NA,0,1,0,0,1,3,10,3,5,24,1,14,461,526,376
Tierga,Tiergarten,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,2,0,0,0,0,4,1,0,1,1,0,3,1,0,3,0,4,2,0,0,0,1,0,0,0,0,0,1,0,0,6,2,1,2,2,0,1,0,8,0,1,2,3,9,0,1,5,0,1,1,0,0,0,4,0,2,0,0,0,4,0,32,0,2,0,0,10,1,3,NA,0,3,0,1,0,3,0,5,11,0,3,113,161,63
Waidma,Waidmannslust,0,0,0,0,2,0,0,0,0,2,2,0,0,4,0,1,0,2,0,1,0,0,0,0,8,0,1,0,0,0,1,0,0,0,5,0,0,9,0,0,0,0,0,1,0,0,0,0,1,0,6,0,0,2,0,10,0,1,2,0,0,1,0,2,0,0,0,0,0,0,7,1,0,1,0,0,0,1,0,0,0,1,15,1,0,NA,0,0,1,0,0,0,0,0,11,0,107,103,44
Wannse,Wannsee,0,0,0,0,0,2,0,0,0,0,1,0,1,22,2,6,0,2,0,0,5,0,0,1,1,0,0,0,1,1,8,4,0,1,0,1,1,0,0,0,0,0,2,0,2,2,0,0,1,10,0,1,1,6,1,0,0,6,2,1,0,1,0,0,10,0,2,0,5,0,2,0,1,0,2,0,5,0,2,0,0,11,0,1,0,0,NA,0,0,0,7,0,1,2,0,24,181,171,75
Warten,Wartenberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,NA,0,1,1,0,0,0,0,0,20,5,17
Weddin,Wedding,1,2,4,1,1,1,3,0,0,5,3,2,3,17,7,3,0,0,1,4,3,2,1,7,12,0,39,3,1,1,4,1,5,4,12,2,3,17,1,0,1,0,1,2,1,11,2,0,2,11,3,0,0,4,1,23,4,17,15,0,4,10,0,0,4,1,9,2,18,1,65,1,3,1,4,0,18,2,2,2,0,27,24,6,1,2,5,0,NA,4,8,3,7,25,18,9,343,560,344
Weißen,Weißensee,2,2,22,0,0,2,6,0,1,0,1,2,0,5,0,4,0,0,9,4,0,10,0,21,2,0,1,0,0,4,1,0,0,0,1,10,2,0,2,1,7,1,0,1,2,2,4,4,0,8,0,2,1,0,0,0,12,19,1,2,25,0,0,8,0,4,22,0,28,0,2,2,0,0,0,1,2,0,0,3,1,4,0,7,0,0,0,1,0,NA,0,3,4,7,0,5,307,310,346
Westen,Westend,0,0,0,0,2,0,0,1,0,0,3,0,2,53,6,10,0,5,0,0,1,1,8,1,2,1,2,1,0,11,7,4,0,4,1,1,4,1,0,0,0,0,6,1,3,6,2,0,1,13,0,2,0,4,2,1,4,12,4,0,0,4,0,2,5,0,3,0,3,1,0,5,5,0,14,0,19,5,9,12,0,8,8,6,1,1,2,1,2,2,NA,0,26,28,1,26,553,392,394
Wilhe1,Wilhelmsruh,0,0,2,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0,1,8,5,7,0,3,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,1,0,2,1,0,3,5,4,0,0,3,0,2,0,0,0,0,0,6,2,0,0,0,0,14,2,1,6,0,0,0,4,10,0,4,1,0,8,0,0,0,0,7,1,1,1,1,0,0,2,1,3,NA,2,0,0,1,151,150,45
Wilhe2,Wilhelmstadt,2,1,2,0,0,3,0,0,0,1,3,0,1,13,3,0,0,23,0,4,0,2,0,0,0,13,3,1,0,1,32,0,1,4,5,0,3,2,0,0,1,0,17,1,3,6,3,0,1,6,0,1,0,4,2,2,3,19,4,0,0,1,0,2,1,0,2,0,11,2,6,0,2,0,5,0,4,4,37,52,0,7,0,1,1,0,0,0,0,0,16,0,NA,7,1,5,391,363,272
Wilmer,Wilmersdorf,4,0,1,4,0,0,2,1,1,2,5,2,5,118,6,33,0,3,0,4,68,1,8,17,10,2,8,4,0,23,5,27,0,3,3,0,0,5,4,1,1,1,4,0,5,28,26,1,15,50,2,4,0,12,7,1,0,18,16,0,1,13,0,13,26,1,9,0,19,4,4,3,6,2,69,1,114,1,3,7,0,92,3,20,7,5,7,0,4,3,33,6,16,NA,1,83,1254,1147,891
Witten,Wittenau,0,0,0,0,0,0,0,0,0,7,2,0,2,6,2,0,0,1,0,1,0,2,0,1,7,0,5,0,0,1,1,2,0,2,5,0,3,6,0,0,0,1,0,2,0,0,1,2,2,2,4,0,0,0,2,19,1,9,0,0,0,3,0,1,1,0,1,0,1,0,17,3,0,1,0,0,5,0,0,1,0,2,15,0,0,8,1,0,3,3,2,0,0,2,NA,5,237,176,76
Zehlen,Zehlendorf,0,2,1,0,0,3,0,0,0,1,6,2,5,44,0,24,0,1,1,7,13,3,0,6,5,2,3,4,0,16,5,9,5,2,1,6,2,13,1,0,0,1,6,2,3,7,23,0,4,99,0,1,0,10,6,3,0,6,3,1,0,4,0,12,65,0,13,1,3,0,5,1,2,0,13,0,31,1,3,7,0,48,17,6,2,0,21,0,8,10,14,0,5,47,3,NA,966,710,675
